address,propertyType,images,hasFloorPlan,location,detailUrl,displayPrice,dateSold,tenure,newBuild,numericPrice,address_1,address_2,address_3,address_4,number,postcode
"44, Morley Mills, Morley Street, Daybrook, Nottingham, Nottinghamshire NG5 6JL",Flat,"{'imageUrl': '/spw/images/placeholder/no-image.svg', 'mediumImageUrl': '/spw/images/placeholder/no-image.svg', 'count': 0}",False,"{'lat': 52.99703, 'lng': -1.13713}",https://www.rightmove.co.uk/house-prices/details/england-54993704?s=7b58777fd22e6640cf47f072309393977e29ebfcbb6fb23c4897fab8c1f6030c,"£130,000",29 Jun 2001,Leasehold,False,130000,Morley Mills,Morley Street,Daybrook,Nottingham,44,NG5 6JL
"65, Morley Mills, Morley Street, Daybrook, Nottingham, Nottinghamshire NG5 6JL",Flat,"{'imageUrl': '/spw/images/placeholder/no-image.svg', 'mediumImageUrl': '/spw/images/placeholder/no-image.svg', 'count': 0}",False,"{'lat': 52.99703, 'lng': -1.13713}",https://www.rightmove.co.uk/house-prices/details/england-90149244?s=0694f88165945aa21c85434de3b9c728e3e8bb561c71082b5dcdeb2597d0fb57,"£136,000",4 May 2017,Leasehold,False,136000,Morley Mills,Morley Street,Daybrook,Nottingham,65,NG5 6JL
"65, Morley Mills, Morley Street, Daybrook, Nottingham, Nottinghamshire NG5 6JL",Flat,"{'imageUrl': '/spw/images/placeholder/no-image.svg', 'mediumImageUrl': '/spw/images/placeholder/no-image.svg', 'count': 0}",False,"{'lat': 52.99703, 'lng': -1.13713}",https://www.rightmove.co.uk/house-prices/details/england-90149244?s=0694f88165945aa21c85434de3b9c728e3e8bb561c71082b5dcdeb2597d0fb57,"£125,000",20 Aug 2004,Leasehold,False,125000,Morley Mills,Morley Street,Daybrook,Nottingham,65,NG5 6JL
"65, Morley Mills, Morley Street, Daybrook, Nottingham, Nottinghamshire NG5 6JL",Flat,"{'imageUrl': '/spw/images/placeholder/no-image.svg', 'mediumImageUrl': '/spw/images/placeholder/no-image.svg', 'count': 0}",False,"{'lat': 52.99703, 'lng': -1.13713}",https://www.rightmove.co.uk/house-prices/details/england-90149244?s=0694f88165945aa21c85434de3b9c728e3e8bb561c71082b5dcdeb2597d0fb57,"£105,000",14 Dec 2001,Leasehold,False,105000,Morley Mills,Morley Street,Daybrook,Nottingham,65,NG5 6JL
"12, Morley Mills, Morley Street, Daybrook, Nottingham, Nottinghamshire NG5 6JL",Flat,"{'imageUrl': '/spw/images/placeholder/no-image.svg', 'mediumImageUrl': '/spw/images/placeholder/no-image.svg', 'count': 0}",False,"{'lat': 52.99703, 'lng': -1.13713}",https://www.rightmove.co.uk/house-prices/details/england-88502172?s=dc97fa8ff61fbfd3418b07627ab6b2157547b5d514722439062f2b61054cbd43,"£130,000",17 Jun 2016,Leasehold,False,130000,Morley Mills,Morley Street,Daybrook,Nottingham,12,NG5 6JL
"12, Morley Mills, Morley Street, Daybrook, Nottingham, Nottinghamshire NG5 6JL",Flat,"{'imageUrl': '/spw/images/placeholder/no-image.svg', 'mediumImageUrl': '/spw/images/placeholder/no-image.svg', 'count': 0}",False,"{'lat': 52.99703, 'lng': -1.13713}",https://www.rightmove.co.uk/house-prices/details/england-88502172?s=dc97fa8ff61fbfd3418b07627ab6b2157547b5d514722439062f2b61054cbd43,"£137,000",21 Apr 2006,Leasehold,False,137000,Morley Mills,Morley Street,Daybrook,Nottingham,12,NG5 6JL
"12, Morley Mills, Morley Street, Daybrook, Nottingham, Nottinghamshire NG5 6JL",Flat,"{'imageUrl': '/spw/images/placeholder/no-image.svg', 'mediumImageUrl': '/spw/images/placeholder/no-image.svg', 'count': 0}",False,"{'lat': 52.99703, 'lng': -1.13713}",https://www.rightmove.co.uk/house-prices/details/england-88502172?s=dc97fa8ff61fbfd3418b07627ab6b2157547b5d514722439062f2b61054cbd43,"£119,000",16 Nov 2004,Leasehold,False,119000,Morley Mills,Morley Street,Daybrook,Nottingham,12,NG5 6JL
"12, Morley Mills, Morley Street, Daybrook, Nottingham, Nottinghamshire NG5 6JL",Flat,"{'imageUrl': '/spw/images/placeholder/no-image.svg', 'mediumImageUrl': '/spw/images/placeholder/no-image.svg', 'count': 0}",False,"{'lat': 52.99703, 'lng': -1.13713}",https://www.rightmove.co.uk/house-prices/details/england-88502172?s=dc97fa8ff61fbfd3418b07627ab6b2157547b5d514722439062f2b61054cbd43,"£120,000",19 Jun 2001,Leasehold,False,120000,Morley Mills,Morley Street,Daybrook,Nottingham,12,NG5 6JL
"61, Morley Mills, Morley Street, Daybrook, Nottingham, Nottinghamshire NG5 6JL",Flat,"{'imageUrl': '/spw/images/placeholder/no-image.svg', 'mediumImageUrl': '/spw/images/placeholder/no-image.svg', 'count': 0}",False,"{'lat': 52.99703, 'lng': -1.13713}",https://www.rightmove.co.uk/house-prices/details/england-4319110?s=82024929c5eb57d12bf4c60cb5088e731ab924f5ecefefc23c177de7a7b4b0f5,"£165,000",8 Apr 2016,Leasehold,False,165000,Morley Mills,Morley Street,Daybrook,Nottingham,61,NG5 6JL
"61, Morley Mills, Morley Street, Daybrook, Nottingham, Nottinghamshire NG5 6JL",Flat,"{'imageUrl': '/spw/images/placeholder/no-image.svg', 'mediumImageUrl': '/spw/images/placeholder/no-image.svg', 'count': 0}",False,"{'lat': 52.99703, 'lng': -1.13713}",https://www.rightmove.co.uk/house-prices/details/england-4319110?s=82024929c5eb57d12bf4c60cb5088e731ab924f5ecefefc23c177de7a7b4b0f5,"£164,000",4 Feb 2005,Leasehold,False,164000,Morley Mills,Morley Street,Daybrook,Nottingham,61,NG5 6JL
