address,propertyType,images,hasFloorPlan,location,detailUrl,displayPrice,dateSold,tenure,newBuild,numericPrice,address_1,address_2,address_3,address_4,number,postcode
"60, Morley Mills, Morley Street, Daybrook, Nottingham, Nottinghamshire NG5 6JL",Flat,"{'imageUrl': '/spw/images/placeholder/no-image.svg', 'mediumImageUrl': '/spw/images/placeholder/no-image.svg', 'count': 0}",False,"{'lat': 52.99703, 'lng': -1.13713}",https://www.rightmove.co.uk/house-prices/details/england-60026823?s=958ad7cec490bf72056272e74a4c8aaaed1241d60099b2a85ce0b26aa038e3e6,"£123,500",12 Dec 2014,Leasehold,False,123500,Morley Mills,Morley Street,Daybrook,Nottingham,60,NG5 6JL
"60, Morley Mills, Morley Street, Daybrook, Nottingham, Nottinghamshire NG5 6JL",Flat,"{'imageUrl': '/spw/images/placeholder/no-image.svg', 'mediumImageUrl': '/spw/images/placeholder/no-image.svg', 'count': 0}",False,"{'lat': 52.99703, 'lng': -1.13713}",https://www.rightmove.co.uk/house-prices/details/england-60026823?s=958ad7cec490bf72056272e74a4c8aaaed1241d60099b2a85ce0b26aa038e3e6,"£137,000",10 May 2002,Leasehold,False,137000,Morley Mills,Morley Street,Daybrook,Nottingham,60,NG5 6JL
"23, Morley Mills, Morley Street, Daybrook, Nottingham, Nottinghamshire NG5 6JL",Flat,"{'imageUrl': '/spw/images/placeholder/no-image.svg', 'mediumImageUrl': '/spw/images/placeholder/no-image.svg', 'count': 0}",False,"{'lat': 52.99703, 'lng': -1.13713}",https://www.rightmove.co.uk/house-prices/details/england-60026811?s=80aec6a4c7b4f6ebf98985b17ce0feba5c17b18ea77fe716e50f45a953d6e8b4,"£112,500",2 Dec 2013,Leasehold,False,112500,Morley Mills,Morley Street,Daybrook,Nottingham,23,NG5 6JL
"23, Morley Mills, Morley Street, Daybrook, Nottingham, Nottinghamshire NG5 6JL",Flat,"{'imageUrl': '/spw/images/placeholder/no-image.svg', 'mediumImageUrl': '/spw/images/placeholder/no-image.svg', 'count': 0}",False,"{'lat': 52.99703, 'lng': -1.13713}",https://www.rightmove.co.uk/house-prices/details/england-60026811?s=80aec6a4c7b4f6ebf98985b17ce0feba5c17b18ea77fe716e50f45a953d6e8b4,"£97,500",14 Sep 2001,Leasehold,True,97500,Morley Mills,Morley Street,Daybrook,Nottingham,23,NG5 6JL
"63, Morley Mills, Morley Street, Daybrook, Nottingham, Nottinghamshire NG5 6JL",Flat,"{'imageUrl': '/spw/images/placeholder/no-image.svg', 'mediumImageUrl': '/spw/images/placeholder/no-image.svg', 'count': 0}",False,"{'lat': 52.99703, 'lng': -1.13713}",https://www.rightmove.co.uk/house-prices/details/england-60026805?s=75391f436d32465926e2bfa8d396beddb860e8a7bd476b92f7855d72bec78598,"£139,500",14 Jun 2013,Leasehold,False,139500,Morley Mills,Morley Street,Daybrook,Nottingham,63,NG5 6JL
"63, Morley Mills, Morley Street, Daybrook, Nottingham, Nottinghamshire NG5 6JL",Flat,"{'imageUrl': '/spw/images/placeholder/no-image.svg', 'mediumImageUrl': '/spw/images/placeholder/no-image.svg', 'count': 0}",False,"{'lat': 52.99703, 'lng': -1.13713}",https://www.rightmove.co.uk/house-prices/details/england-60026805?s=75391f436d32465926e2bfa8d396beddb860e8a7bd476b92f7855d72bec78598,"£169,995",28 May 2004,Leasehold,False,169995,Morley Mills,Morley Street,Daybrook,Nottingham,63,NG5 6JL
"63, Morley Mills, Morley Street, Daybrook, Nottingham, Nottinghamshire NG5 6JL",Flat,"{'imageUrl': '/spw/images/placeholder/no-image.svg', 'mediumImageUrl': '/spw/images/placeholder/no-image.svg', 'count': 0}",False,"{'lat': 52.99703, 'lng': -1.13713}",https://www.rightmove.co.uk/house-prices/details/england-60026805?s=75391f436d32465926e2bfa8d396beddb860e8a7bd476b92f7855d72bec78598,"£125,000",26 Apr 2002,Leasehold,False,125000,Morley Mills,Morley Street,Daybrook,Nottingham,63,NG5 6JL
"58, Morley Mills, Morley Street, Daybrook, Nottingham, Nottinghamshire NG5 6JL",Flat,"{'imageUrl': '/spw/images/placeholder/no-image.svg', 'mediumImageUrl': '/spw/images/placeholder/no-image.svg', 'count': 0}",False,"{'lat': 52.99703, 'lng': -1.13713}",https://www.rightmove.co.uk/house-prices/details/england-60026802?s=beea5182df2a20e0a78ae2835fbfde4306f6dcec440247872242a31743651560,"£125,000",12 Jun 2013,Leasehold,False,125000,Morley Mills,Morley Street,Daybrook,Nottingham,58,NG5 6JL
"58, Morley Mills, Morley Street, Daybrook, Nottingham, Nottinghamshire NG5 6JL",Flat,"{'imageUrl': '/spw/images/placeholder/no-image.svg', 'mediumImageUrl': '/spw/images/placeholder/no-image.svg', 'count': 0}",False,"{'lat': 52.99703, 'lng': -1.13713}",https://www.rightmove.co.uk/house-prices/details/england-60026802?s=beea5182df2a20e0a78ae2835fbfde4306f6dcec440247872242a31743651560,"£129,950",14 Jun 2002,Leasehold,False,129950,Morley Mills,Morley Street,Daybrook,Nottingham,58,NG5 6JL
"53, Morley Mills, Morley Street, Daybrook, Nottingham, Nottinghamshire NG5 6JL",Flat,"{'imageUrl': '/spw/images/placeholder/no-image.svg', 'mediumImageUrl': '/spw/images/placeholder/no-image.svg', 'count': 0}",False,"{'lat': 52.99703, 'lng': -1.13713}",https://www.rightmove.co.uk/house-prices/details/england-60026799?s=1449ee3a7406d5738b6029e57a90ba440cfdf975bf1e277f0305bf31cdadd677,"£87,500",22 Mar 2013,Leasehold,False,87500,Morley Mills,Morley Street,Daybrook,Nottingham,53,NG5 6JL
"53, Morley Mills, Morley Street, Daybrook, Nottingham, Nottinghamshire NG5 6JL",Flat,"{'imageUrl': '/spw/images/placeholder/no-image.svg', 'mediumImageUrl': '/spw/images/placeholder/no-image.svg', 'count': 0}",False,"{'lat': 52.99703, 'lng': -1.13713}",https://www.rightmove.co.uk/house-prices/details/england-60026799?s=1449ee3a7406d5738b6029e57a90ba440cfdf975bf1e277f0305bf31cdadd677,"£117,950",27 Jun 2005,Leasehold,False,117950,Morley Mills,Morley Street,Daybrook,Nottingham,53,NG5 6JL
